tree_tip,matched_MDD_name,match_type,order,family,genus,iucn_category,extinct_flag
Tolypeutes_matacus,Tolypeutes_matacus,direct,Cingulata,Tolypeutidae,Tolypeutes,NT,0.0
Priodontes_maximus,Priodontes_maximus,direct,Cingulata,Tolypeutidae,Priodontes,VU,0.0
Cabassous_chacoensis,Cabassous_chacoensis,direct,Cingulata,Tolypeutidae,Cabassous,NT,0.0
Cabassous_tatouay,Cabassous_tatouay,direct,Cingulata,Tolypeutidae,Cabassous,LC,0.0
Cabassous_unicinctus,Cabassous_unicinctus,direct,Cingulata,Tolypeutidae,Cabassous,LC,0.0
Cabassous_centralis,Cabassous_centralis,direct,Cingulata,Tolypeutidae,Cabassous,LC,0.0
Tamandua_tetradactyla,Tamandua_tetradactyla,direct,Pilosa,Myrmecophagidae,Tamandua,LC,0.0
Tamandua_mexicana,Tamandua_mexicana,direct,Pilosa,Myrmecophagidae,Tamandua,LC,0.0
Myrmecophaga_tridactyla,Myrmecophaga_tridactyla,direct,Pilosa,Myrmecophagidae,Myrmecophaga,VU,0.0
Cyclopes_didactylus,Cyclopes_didactylus,direct,Pilosa,Cyclopedidae,Cyclopes,LC,0.0
Mylodon_darwinii,,unmatched,,,,,
Choloepus_hoffmanni,Choloepus_hoffmanni,direct,Pilosa,Choloepodidae,Choloepus,LC,0.0
Choloepus_didactylus,Choloepus_didactylus,direct,Pilosa,Choloepodidae,Choloepus,LC,0.0
Nothrotheriops_shastensis,,unmatched,,,,,
Bradypus_torquatus,Bradypus_torquatus,direct,Pilosa,Bradypodidae,Bradypus,EN,0.0
Bradypus_pygmaeus,Bradypus_pygmaeus,direct,Pilosa,Bradypodidae,Bradypus,CR,0.0
Bradypus_tridactylus,Bradypus_tridactylus,direct,Pilosa,Bradypodidae,Bradypus,LC,0.0
Bradypus_variegatus,Bradypus_variegatus,direct,Pilosa,Bradypodidae,Bradypus,LC,0.0
Solenodon_marcanoi,Solenodon_marcanoi,direct,Eulipotyphla,Solenodontidae,Solenodon,EX,1.0
Solenodon_cubanus,Atopogale_cubana,synonym:MSW3,Eulipotyphla,Solenodontidae,Atopogale,EN,0.0
Solenodon_paradoxus,Solenodon_paradoxus,direct,Eulipotyphla,Solenodontidae,Solenodon,LC,0.0
