tree,PD,ePDloss
385,126633.665162797,13607.4641102018
386,123364.993423777,13509.9152383235
387,130645.107648926,14420.5482595004
388,126979.144456545,14142.4691264523
389,130834.070140971,14056.9567703613
390,128897.728621198,13486.7834440855
391,128710.327084361,13922.9072523597
392,127003.071156215,13726.4973146675
393,131446.213071729,14026.4770974265
394,131171.881814424,14218.3001432385
395,128990.611237633,13757.8187451382
396,131185.108834454,14044.7421568672
397,131826.3848589,14186.192347416
398,135180.871516675,14354.3655413923
399,132915.120124227,14330.9692951084
400,131475.168591169,14622.7146506076
401,134291.787295639,14422.6431638882
402,133278.387369603,14425.411153938
403,132544.769043474,14280.9633641486
404,131061.954632393,13959.0091971704
405,129663.346618903,14086.2425845875
406,132924.012854299,14258.9637719832
407,127508.910559826,13652.3410253833
408,125055.408340824,13541.6053051799
409,128019.175301094,13747.9990808634
410,126093.796594062,13500.0583215911
411,128651.500805658,13887.0214848161
412,132663.019639136,14590.6082035088
413,129563.951506949,14071.0913630721
414,129248.411574932,14293.2351397026
415,131391.281368098,14517.5026465013
416,131818.743268325,14478.4707686555
417,133155.12296017,14915.1615847688
418,135197.402192313,14842.7532804162
419,134871.586845383,14768.2753841067
420,133034.082486773,14540.8605975254
421,132456.002223516,14923.1397750386
422,134977.469241702,14721.0521517469
423,132091.573499589,14716.5122778766
424,131181.595905851,14527.0111609283
425,132438.442760149,14560.2668462262
426,130683.121349532,14369.9736246694
427,131806.697509716,14599.0586306853
428,129281.477879761,14215.0380958219
429,130644.542969331,14410.9070795779
430,127964.650628503,14148.183502027
431,127311.410473067,14278.9333666523
432,126635.027563702,13974.0314724833
433,127249.157997789,13576.054504804
434,127663.005869062,13962.4558225518
435,128358.736418188,13991.1214813836
436,124254.008451782,13226.1178590182
437,126360.516362299,13817.9440657579
438,125377.075625878,13740.0613160031
439,130732.516023165,14082.7053564009
440,131385.845650543,14378.5392731928
441,134148.167895446,14298.3916140074
442,135536.720394963,14501.935315548
443,132434.632867641,14512.8229842893
444,132709.776893016,14542.388468097
445,126101.049311641,13789.0714873133
446,133664.168354222,14417.1955845449
447,129514.228918142,13776.525248437
448,126387.846289839,13636.8034303317
449,128232.487349909,13710.4874336805
450,131538.120235054,14083.2043337767
451,131140.799590283,14002.3674076034
452,125304.966544956,13630.2762605756
453,124505.718040896,13462.9141185893
454,123348.373236272,13215.8325028352
455,126134.640863121,13829.3242625869
456,124137.504991474,13501.5049915848
457,126563.205903813,13737.3706126449
458,126063.137070336,13635.1983500712
459,132050.081662676,14231.0353952504
460,129597.976918455,13757.0251621698
461,129215.804709383,14039.10217585
462,127874.980591015,13304.2781228359
463,132713.777849876,14356.9565118278
464,126493.358522365,13579.2402666803
465,129619.534584325,13724.9877128394
466,130310.463943872,14058.5544769168
467,134530.509342245,14578.0242460037
468,134633.353567907,14328.6261405112
469,133036.327684741,14633.8411823913
470,135140.293534313,14572.3499868951
471,131522.883583312,13959.2438122914
472,132383.837907836,13946.710928407
473,132162.276158332,14237.7620774615
474,133028.290411218,14224.2809404327
475,131285.455093239,14054.9434698787
476,128372.733407518,13274.5905484291
477,130820.589208744,14200.4971746772
478,126301.170134064,13825.902621016
479,127716.09952231,13690.2873773152
480,128996.873451406,13655.4462790591
481,128473.393182934,14009.3662504135
482,131654.429554976,14569.4132656203
483,131218.231142533,13954.4944717508
484,130100.578559104,14241.8159376855
485,132445.473872862,14346.2407254367
486,125924.941257129,13344.4290475517
487,126109.361399661,13634.8489757063
488,124503.862957494,13283.0041108332
489,125450.010000692,13445.1276763762
490,123136.308692903,12860.2955064631
491,127484.366627933,13499.0286655807
492,128521.569694013,13641.1707419256
493,133789.165789078,14269.5499876199
494,129318.415085727,13881.2681077934
495,128963.941939226,14150.94917744
496,131113.432083556,14204.6491853843
497,130968.718371757,14011.4810606164
498,119751.670502057,13039.0281583049
499,130599.992269564,14038.5023781727
500,119854.340175511,13021.1322049569
501,124209.665955037,13486.5252041626
502,124003.98578417,13546.0160668015
503,125828.570962347,13790.0595589651
504,132850.787216849,14074.0883500205
505,131577.322340975,14082.7158652306
506,127328.284901395,13862.2571411714
507,123684.73514156,13596.5551065731
508,124168.328901823,13266.1594811176
509,126329.836980471,13729.8701158597
510,126952.666161376,13680.2520045621
511,127456.007224953,13755.7442882383
512,125512.086061156,13488.1344516288
513,130229.209399859,14133.1067278177
514,128510.116196175,13886.6125684455
515,125188.237000054,14123.6077443959
516,125580.011517967,13585.5831828018
517,124937.952245522,13381.2996777435
518,126203.939090009,13958.6782007747
519,129285.516403379,14261.8829688319
520,129406.626016774,14541.2735290887
521,130702.682236513,14729.7824232156
522,128330.545610472,14198.8337810224
523,128048.345549127,13975.7260633766
524,127217.595714253,13834.5421127255
525,126965.571570108,14062.898301473
526,126177.365645218,13797.7592194032
527,127046.73643526,14041.8929328473
528,125878.940947393,13522.5473074249
529,126421.259877093,14172.6521819773
530,125820.509801854,13859.9334857119
531,127999.746037741,14132.7344754069
532,127084.882359775,13686.0783264053
533,127376.659866943,13634.1734242427
534,127552.211502497,14060.1779031524
535,129436.031036598,14065.3315995333
536,127882.100735383,13919.5465853407
537,129870.448103868,14227.0472138241
538,127054.836615271,13676.0770151613
539,125056.918152471,13246.6193705853
540,126332.46322247,13486.4623508139
541,126098.864471749,13772.3087976978
542,124612.904961462,13597.2664298614
543,123482.187387868,13532.8815186811
544,123603.440791874,13057.9500265354
545,121677.405567265,13119.509330815
546,122979.08112106,13370.2044633581
547,123495.187851366,13427.3444851766
548,121819.463448838,13057.5379741943
549,124545.858855182,13833.659666787
550,127876.883073782,13692.314536688
551,127523.662706156,13744.5038105787
552,124662.422082238,13208.4157809045
553,122800.72413884,13240.8848141156
554,122313.173357633,13282.0213675981
555,126012.071219871,13486.7350334545
556,126864.553954443,13662.9388319893
557,126877.898774925,13760.6336502559
558,128172.948654849,13654.836518347
559,127830.414834826,14085.4051286116
560,128864.808015093,14000.9276389643
561,128238.501279237,14115.4452685262
562,128692.695382114,13453.5107929485
563,126622.440458979,13556.4992532348
564,129993.402588675,14055.4373667137
565,125843.578402494,13835.6519874214
566,125312.396995216,13631.3616787255
567,127567.758466372,13791.7105864274
568,125179.715068948,13667.9254370627
569,125853.451160757,13344.7543347201
570,125274.606948209,13337.4134276479
571,130309.759651407,14461.0940246722
572,129485.383576406,14086.8133618538
573,126782.436607478,13990.4430721765
574,127904.338817712,13743.1131000341
575,126454.61693121,13821.6788036078
576,124988.268171521,13278.3033763472
577,131117.505485249,14265.245936667
578,128832.831849138,14047.5195813107
579,128275.521837404,14015.8411404615
580,127958.832822252,13707.53989522
581,126409.176495089,13837.8058245728
582,125436.991656131,13543.7878039
583,126604.513697681,13997.9465749062
584,126482.738897317,13835.2752806358
585,127295.168345094,13953.1245411776
586,125861.787818934,13132.0443409386
587,127433.219057177,13977.1630376419
588,133855.35817225,14272.0550796864
589,122600.172740223,13166.1156077352
590,134391.831168485,14675.2798355716
591,139450.785010259,14842.455681177
