clade,species,RLcat,match,matched_IUCN_name,order,family
mammals,Myosorex_eisentrauti,CR,direct,Myosorex_eisentrauti,Eulipotyphla,Soricidae
mammals,Myosorex_sclateri,VU,direct,Myosorex_sclateri,Eulipotyphla,Soricidae
mammals,Myosorex_blarina,EN,direct,Myosorex_blarina,Eulipotyphla,Soricidae
mammals,Myosorex_okuensis,VU,direct,Myosorex_okuensis,Eulipotyphla,Soricidae
mammals,Myosorex_gnoskei,EN,direct,Myosorex_gnoskei,Eulipotyphla,Soricidae
mammals,Myosorex_kihaulei,EN,direct,Myosorex_kihaulei,Eulipotyphla,Soricidae
mammals,Myosorex_geata,EN,direct,Myosorex_geata,Eulipotyphla,Soricidae
mammals,Myosorex_meesteri,LC,direct,Myosorex_meesteri,Eulipotyphla,Soricidae
mammals,Myosorex_bururiensis,VU,direct,Myosorex_bururiensis,Eulipotyphla,Soricidae
mammals,Sylvisorex_corbeti,DD,direct,Sylvisorex_corbeti,Eulipotyphla,Soricidae
mammals,Suncus_hosei,DD,direct,Suncus_hosei,Eulipotyphla,Soricidae
mammals,Sylvisorex_johnstoni,LC,direct,Sylvisorex_johnstoni,Eulipotyphla,Soricidae
mammals,Suncus_aequatorius,EN,direct,Suncus_aequatorius,Eulipotyphla,Soricidae
mammals,Sylvisorex_howelli,LC,direct,Sylvisorex_howelli,Eulipotyphla,Soricidae
mammals,Sylvisorex_lunaris,NT,direct,Sylvisorex_lunaris,Eulipotyphla,Soricidae
mammals,Sylvisorex_camerunensis,VU,direct,Sylvisorex_camerunensis,Eulipotyphla,Soricidae
mammals,Sylvisorex_granti,LC,direct,Sylvisorex_granti,Eulipotyphla,Soricidae
mammals,Sylvisorex_vulcanorum,LC,direct,Sylvisorex_vulcanorum,Eulipotyphla,Soricidae
mammals,Suncus_hututsi,LC,direct,Suncus_hututsi,Eulipotyphla,Soricidae
mammals,Sylvisorex_silvanorum,DD,direct,Sylvisorex_silvanorum,Eulipotyphla,Soricidae
mammals,Suncus_remyi,LC,direct,Suncus_remyi,Eulipotyphla,Soricidae
mammals,Sylvisorex_akaibei,LC,direct,Sylvisorex_akaibei,Eulipotyphla,Soricidae
mammals,Suncus_infinitesimus,LC,direct,Suncus_infinitesimus,Eulipotyphla,Soricidae
mammals,Suncus_varilla,LC,direct,Suncus_varilla,Eulipotyphla,Soricidae
mammals,Suncus_megalura,LC,direct,Suncus_megalura,Eulipotyphla,Soricidae
mammals,Ruwenzorisorex_suncoides,VU,direct,Ruwenzorisorex_suncoides,Eulipotyphla,Soricidae
mammals,Sylvisorex_konganensis,DD,direct,Sylvisorex_konganensis,Eulipotyphla,Soricidae
mammals,Scutisorex_thori,DD,direct,Scutisorex_thori,Eulipotyphla,Soricidae
mammals,Scutisorex_somereni,LC,direct,Scutisorex_somereni,Eulipotyphla,Soricidae
mammals,Sylvisorex_ollula,LC,direct,Sylvisorex_ollula,Eulipotyphla,Soricidae
mammals,Crocidura_pachyura,LC,direct,Crocidura_pachyura,Eulipotyphla,Soricidae
mammals,Crocidura_russula,LC,direct,Crocidura_russula,Eulipotyphla,Soricidae
mammals,Crocidura_roosevelti,LC,direct,Crocidura_roosevelti,Eulipotyphla,Soricidae
mammals,Crocidura_latona,LC,direct,Crocidura_latona,Eulipotyphla,Soricidae
mammals,Crocidura_zaphiri,DD,direct,Crocidura_zaphiri,Eulipotyphla,Soricidae
mammals,Crocidura_caliginea,LC,direct,Crocidura_caliginea,Eulipotyphla,Soricidae
mammals,Crocidura_hispida,VU,direct,Crocidura_hispida,Eulipotyphla,Soricidae
mammals,Crocidura_voi,LC,direct,Crocidura_voi,Eulipotyphla,Soricidae
mammals,Crocidura_tansaniana,NT,direct,Crocidura_tansaniana,Eulipotyphla,Soricidae
mammals,Crocidura_gmelini,LC,direct,Crocidura_gmelini,Eulipotyphla,Soricidae
mammals,Crocidura_cyanea,LC,direct,Crocidura_cyanea,Eulipotyphla,Soricidae
mammals,Crocidura_wimmeri,VU,direct,Crocidura_wimmeri,Eulipotyphla,Soricidae
mammals,Crocidura_baluensis,LC,direct,Crocidura_baluensis,Eulipotyphla,Soricidae
mammals,Crocidura_poensis,LC,direct,Crocidura_poensis,Eulipotyphla,Soricidae
mammals,Crocidura_buettikoferi,LC,direct,Crocidura_buettikoferi,Eulipotyphla,Soricidae
mammals,Crocidura_kivuana,NT,direct,Crocidura_kivuana,Eulipotyphla,Soricidae
mammals,Crocidura_theresae,LC,direct,Crocidura_theresae,Eulipotyphla,Soricidae
